
2025/02/25 (11:51:30) | ===> btop++ v.1.4.0
2025/02/25 (11:51:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (12:03:26) | ===> btop++ v.1.4.0
2025/02/25 (12:03:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (05:47:37) | ===> btop++ v.1.4.0
2025/03/10 (05:47:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (06:35:54) | ===> btop++ v.1.4.0
2025/03/10 (06:35:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (07:38:52) | ===> btop++ v.1.4.0
2025/03/10 (07:38:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (08:07:33) | ===> btop++ v.1.4.0
2025/03/10 (08:07:33) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (08:07:41) | ===> btop++ v.1.4.0
2025/03/10 (08:07:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (08:08:10) | ===> btop++ v.1.4.0
2025/03/10 (08:08:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/10 (10:48:24) | ===> btop++ v.1.4.0
2025/03/10 (10:48:24) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/10 (10:48:26) | WARNING: Failed to join _runner thread on exit!

2025/03/10 (11:11:05) | ===> btop++ v.1.4.0
2025/03/10 (11:11:05) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/10 (11:11:07) | WARNING: Failed to join _runner thread on exit!

2025/03/10 (11:11:09) | ===> btop++ v.1.4.0
2025/03/10 (11:11:09) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/10 (11:11:17) | WARNING: Failed to join _runner thread on exit!

2025/03/10 (11:15:06) | ===> btop++ v.1.4.0
2025/03/10 (11:15:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (10:21:15) | ===> btop++ v.1.4.0
2025/03/11 (10:21:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (18:05:40) | ===> btop++ v.1.4.0
2025/03/11 (18:05:40) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (18:06:10) | ===> btop++ v.1.4.0
2025/03/11 (18:06:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (02:53:18) | ===> btop++ v.1.4.0
2025/03/12 (02:53:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (02:53:47) | ===> btop++ v.1.4.0
2025/03/12 (02:53:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/12 (03:38:30) | ===> btop++ v.1.4.0
2025/03/12 (03:38:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/13 (08:58:17) | ===> btop++ v.1.4.0
2025/03/13 (08:58:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (09:54:31) | ===> btop++ v.1.4.0
2025/03/14 (09:54:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (10:39:36) | ===> btop++ v.1.4.0
2025/03/14 (10:39:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (14:05:45) | ===> btop++ v.1.4.0
2025/03/14 (14:05:45) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (14:07:58) | ===> btop++ v.1.4.0
2025/03/14 (14:07:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (15:27:36) | ===> btop++ v.1.4.0
2025/03/14 (15:27:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/14 (20:48:19) | ===> btop++ v.1.4.0
2025/03/14 (20:48:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/16 (05:23:09) | ===> btop++ v.1.4.0
2025/03/16 (05:23:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/16 (09:01:24) | ===> btop++ v.1.4.0
2025/03/16 (09:01:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/16 (10:01:52) | ===> btop++ v.1.4.0
2025/03/16 (10:01:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (07:10:24) | ===> btop++ v.1.4.0
2025/03/19 (07:10:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (00:36:50) | ===> btop++ v.1.4.0
2025/03/21 (00:36:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (05:26:19) | ===> btop++ v.1.4.0
2025/03/22 (05:26:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (20:03:48) | ===> btop++ v.1.4.0
2025/03/25 (20:03:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (06:01:36) | ===> btop++ v.1.4.0
2025/03/29 (06:01:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (13:30:00) | ===> btop++ v.1.4.0
2025/03/29 (13:30:00) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/29 (13:32:15) | WARNING: Failed to join _runner thread on exit!

2025/03/29 (13:44:48) | ===> btop++ v.1.4.0
2025/03/29 (13:44:48) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/29 (13:44:54) | WARNING: Failed to join _runner thread on exit!

2025/03/29 (14:49:24) | ===> btop++ v.1.4.0
2025/03/29 (14:49:24) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (16:02:25) | ===> btop++ v.1.4.0
2025/03/29 (16:02:25) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (16:27:06) | ===> btop++ v.1.4.0
2025/03/29 (16:27:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (05:49:28) | ===> btop++ v.1.4.0
2025/03/30 (05:49:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (11:11:01) | ===> btop++ v.1.4.0
2025/03/30 (11:11:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (11:11:26) | ===> btop++ v.1.4.0
2025/03/30 (11:11:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (11:12:10) | ===> btop++ v.1.4.0
2025/03/30 (11:12:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (12:55:51) | ===> btop++ v.1.4.0
2025/03/30 (12:55:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (13:01:11) | ===> btop++ v.1.4.0
2025/03/30 (13:01:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (13:01:59) | ===> btop++ v.1.4.0
2025/03/30 (13:01:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (13:05:58) | ===> btop++ v.1.4.0
2025/03/30 (13:05:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/30 (13:07:55) | ===> btop++ v.1.4.0
